년도,월,일,시간,유속(cm/s),유향(16points),유향(deg),수온(℃),염분(PSU),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),풍향(16points),풍향(deg),기온(℃),기압(hPa),시정(m)
2016,8,31,0,16.1,동,91,25.29,-,1.24,7.3,1.38,7,7.4,서북서,284,23.9,990.6,-
2016,8,31,1,10.5,동북동,61,25.29,-,1.08,6.9,1.59,6.5,9.7,서,268,23.6,990.5,-
2016,8,31,2,3.6,북,3,25.31,-,0.87,5.7,1.08,5.5,7.3,서남서,258,23.3,990.7,-
2016,8,31,3,2.5,북,9,25.27,-,0.86,7.3,1.24,5.5,8.9,서,262,23.5,990.4,-
2016,8,31,4,5.8,동북동,59,25.24,-,1.05,6.2,1.43,6,9,서남서,251,23.6,990.2,-
2016,8,31,5,10.7,북동,53,25.22,-,1.08,6.3,1.53,7,9,서남서,240,23.5,990.1,-
2016,8,31,6,18.9,동,89,25.1,-,0.96,6.3,1.29,6.5,9.5,남서,235,23.3,990.5,-
2016,8,31,7,23.8,동,99,25.09,-,1.22,6.9,1.55,7,10.2,서남서,243,23.6,990.9,-
2016,8,31,8,29.7,동,94,25.18,-,1.52,7,1.82,6.5,11.6,서남서,246,23.9,991.4,-
2016,8,31,9,36.9,동,92,25.13,-,1.34,6.2,1.89,7.5,12.2,서남서,254,24.2,991.7,-
2016,8,31,10,37.5,동,85,25.11,-,1.31,6.8,2.08,6,13.3,남서,234,24.4,992.2,-
2016,8,31,11,28.2,동,87,25.13,-,1.3,6.1,1.91,6.5,10.9,서남서,242,24.9,992.6,-
2016,8,31,12,6.6,북동,45,25.07,-,1.21,5.9,1.51,6.5,12.6,서남서,242,25.9,992.4,-
2016,8,31,13,7.5,북서,305,25,-,1.14,5.9,1.71,6.5,11.1,서남서,239,26.7,992.4,-
2016,8,31,14,18.6,북서,305,24.69,-,1.26,5.6,1.75,4.5,9.8,서남서,241,27,992.3,-
2016,8,31,15,26.2,서,272,24.6,-,1.26,6.4,1.66,7,9.9,서남서,245,27.6,992.4,-
2016,8,31,16,28.7,서남서,255,24.02,-,1.23,7,1.82,7.5,7.8,서남서,255,28.4,993.3,-
2016,8,31,17,31.6,서남서,255,24.45,-,1.33,7.4,1.96,6.5,10,서남서,258,28.1,994.1,-
2016,8,31,18,8.8,서북서,300,23.98,-,0.95,5.7,1.12,6.5,8.9,서남서,239,27.9,994.9,-
2016,8,31,19,14.1,동,87,23.87,-,1.07,6.1,1.34,7,9.7,서남서,250,27.4,995.9,-
2016,8,31,20,21.2,북동,36,24.2,-,1.1,6.7,1.57,6.5,8.1,서남서,239,26.4,996.9,-
2016,8,31,21,32.2,동,79,24.46,-,1.29,5.7,1.75,6,8.6,서남서,243,26.5,997.8,-
2016,8,31,22,23.8,동북동,69,24.42,-,1.45,6.8,1.78,8,7.4,서남서,237,26.2,998.5,-
2016,8,31,23,28,동북동,79,24.37,-,1.45,5.9,1.82,5.5,8.5,서남서,246,25.8,999,-
